,Asset ID,Asset Name,Country,Latitude,Longitude,aez_v9v2_CRUTS32_Hist_8110_100_avg,lgd_ENSEMBLE_rcp4p5_2050s,aez_v9v2_ENSEMBLE_rcp4p5_2050s,tmpCRUTS32_0010,tmp_ENSEMBLE_rcp4p5_2050s,lgd_CRUTS32_Hist_0010,all_2010_prod
6092,10152939,Pflegeheim Seniorenwohnanlage Niebüll-Gath,Germany,54.7929,8.83912,56.0,283.0,56.0,9.269999504089355,11.045999526977539,243.0,4432.4609375
61522,69248,Global Branch Key 69248,Poland,51.27181,16.36438,39.0,245.0,39.0,9.9399995803833,12.121999740600586,237.0,1930.357177734375
142146,126372,Blackbushe House,United Kingdom,51.3259,-0.831085,40.0,320.0,42.0,10.380000114440918,11.907999038696289,277.0,419.5154724121094
199140,51183086,"Retail - United Kingdom (50.696733 , -1.3195496)",United Kingdom,50.696733,-1.3195496,41.0,312.0,41.0,11.059999465942383,12.543999671936035,357.0,2435.369140625
49414,152916,Global Branch Key 152916,Portugal,41.09873,-8.629112,56.0,273.0,56.0,15.589999198913574,16.941999435424805,277.0,339.8470153808594
129449,317897,Eriste,Spain,42.5888,0.490975,51.0,149.0,51.0,3.25,4.814000129699707,152.0,26.7591495513916
17963,766683,Global Branch Key 766683,France,48.88725,2.50895,56.0,306.0,56.0,12.449999809265137,14.065999984741211,287.0,51.910400390625
156639,744546,Global Branch Key 744546,Italy,39.31118,16.2522,56.0,251.0,56.0,16.260000228881836,17.74599838256836,290.0,2918.574951171875
194650,2987531,Business Address,Germany,48.13531,11.688183,56.0,258.0,56.0,9.15999984741211,11.093999862670898,239.0,3052.0458984375
23947,40830,Global Branch Key 40830,Belgium,50.87164,4.082971,41.0,329.0,41.0,10.960000038146973,12.553998947143555,278.0,4386.08740234375
128402,4968196,RTX A/S,Denmark,57.086217,9.958221,52.0,245.0,52.0,8.75,10.355999946594238,234.0,2220.3173828125
198582,175940,Council Depot,United Kingdom,52.5723,-0.221064,56.0,315.0,56.0,10.429999351501465,11.815999984741211,280.0,4866.11572265625
44717,52212196,"Retail - United Kingdom (52.3399856 , -2.2794888)",United Kingdom,52.3399856,-2.2794888,56.0,339.0,56.0,10.179999351501465,11.633999824523926,278.0,2072.864501953125
111341,118059,Global Branch Key 118059,Italy,45.43097,11.05085,56.0,315.0,56.0,12.59999942779541,14.503999710083008,264.0,3921.582763671875
102319,116446,Global Branch Key 116446,Italy,44.79331,11.38576,51.0,273.0,51.0,13.880000114440918,15.6899995803833,214.0,5665.58154296875
30904,3078977,Business Address,Germany,50.110922,8.682127,56.0,272.0,56.0,10.550000190734863,12.345999717712402,261.0,1045.3997802734375
112643,6339737,Irish Cement Ltd.,Ireland,53.68405,-6.38781,41.0,363.0,41.0,9.679999351501465,11.357999801635742,294.0,1349.819091796875
160560,10196646,Borchardt Medical Centre,United Kingdom,53.43432,-2.23776,56.0,363.0,56.0,10.25,11.58799934387207,283.0,
147973,10159452,In de Cramer 104,Netherlands,50.89797,5.94984,41.0,322.0,41.0,10.809999465942383,12.411999702453613,271.0,5804.95263671875
95249,53337603,"Retail - United Kingdom (53.4375085 , -2.972126)",United Kingdom,53.4375085,-2.972126,56.0,360.0,56.0,9.859999656677246,11.255999565124512,279.0,538.7721557617188
158870,135947,Global Branch Key 135947,Austria,47.7217,16.08071,56.0,251.0,56.0,9.579999923706055,11.589999198913574,242.0,1838.244873046875
195750,53210490,"Retail - United Kingdom (53.430207 , -2.3203487)",United Kingdom,53.430207,-2.3203487,56.0,363.0,56.0,10.34999942779541,11.684000015258789,286.0,
19974,136814,Global Branch Key 136814,United Kingdom,55.85394,-4.19935,50.0,325.0,50.0,9.109999656677246,10.289999008178711,262.0,168.32933044433594
191355,7444660,TAURON Cieplo sp. z o.o.,Poland,50.268621,19.017279,56.0,244.0,56.0,8.479999542236328,11.27199935913086,228.0,1.10321307182312
93670,268431,Global Branch Key 268431,France,46.90375,5.772444,42.0,271.0,30.0,9.889999389648438,11.639999389648438,252.0,847.0275268554688
24833,53372,Impianto a Ciclo Combinato Napoli Levante,Italy,40.83401,14.30047,56.0,264.0,56.0,16.770000457763672,18.534000396728516,276.0,510.2752380371094
191207,267476,Global Branch Key 267476,United Kingdom,51.6568,-0.277759,56.0,314.0,56.0,10.469999313354492,11.989999771118164,268.0,315.69110107421875
16716,128859,Global Branch Key 128859,Italy,44.49282,11.30114,56.0,285.0,56.0,13.149999618530273,14.913999557495117,219.0,1648.2071533203125
191916,10088133,Halsmere Studios,United Kingdom,51.47548,-0.10205,56.0,313.0,56.0,10.739999771118164,12.277999877929688,272.0,
37571,10016559,Marble Arch House,United Kingdom,51.51439,-0.16144,50.0,312.0,50.0,10.710000038146973,12.243999481201172,272.0,
190805,40657,Global Branch Key 40657,Belgium,50.47073,4.2833,56.0,325.0,56.0,10.559999465942383,12.2839994430542,271.0,4474.45556640625
40279,6618648,Alkane Energy Ltd.,United Kingdom,53.192751,-1.064712,40.0,325.0,42.0,9.949999809265137,11.233999252319336,274.0,3548.317626953125
122322,3002255,Business Address,Netherlands,52.117654,5.169717,42.0,327.0,42.0,10.429999351501465,11.920000076293945,273.0,1302.079833984375
48356,132218,Global Branch Key 132218,Italy,45.3163,10.94266,51.0,293.0,51.0,13.149999618530273,14.991999626159668,249.0,10458.419921875
28605,73128,Castanet,France,43.656876,2.917097,30.0,243.0,28.0,10.119999885559082,12.050000190734863,203.0,
78857,10114916,Gränome 1:13,Sweden,59.98894,17.958,40.0,211.0,40.0,6.579999923706055,9.275999069213867,194.0,784.2687377929688
64472,529491,Global Branch Key 529491,Italy,45.47418,9.205609,56.0,344.0,56.0,13.729999542236328,15.331998825073242,284.0,1001.0280151367188
52749,592512,Global Branch Key 592512,Poland,50.81259,16.27953,56.0,227.0,56.0,8.079999923706055,10.300000190734863,221.0,827.1488037109375
77071,815096,Global Branch Key 815096,Spain,41.46479,2.25054,56.0,278.0,56.0,16.139999389648438,17.631999969482422,266.0,
152703,852543,Global Branch Key 852543,Poland,54.60397,18.25443,56.0,243.0,56.0,8.420000076293945,10.705999374389648,225.0,181.4688720703125
105630,185494,Global Branch Key 185494,Spain,41.599,1.623,22.0,276.0,24.0,14.09999942779541,15.63800048828125,282.0,1125.0186767578125
5246,655429,Global Branch Key 655429,Italy,45.30684,7.88892,51.0,337.0,51.0,13.429999351501465,15.045999526977539,272.0,8845.3525390625
205473,142464,Global Branch Key 142464,Spain,39.58925,-0.332664,51.0,191.0,51.0,18.65999984741211,19.972000122070312,236.0,7211.291015625
181805,109573,Global Branch Key 109573,Italy,45.55157,9.300769,56.0,348.0,56.0,13.729999542236328,15.338000297546387,290.0,2828.594482421875
164912,83888,Global Branch Key 83888,Greece,37.98971,23.75863,56.0,174.0,56.0,16.459999084472656,17.9739990234375,201.0,342.7462158203125
71933,6444723,"Taetel, S.L.",Spain,40.447288,-3.714754,56.0,221.0,56.0,14.489999771118164,16.243999481201172,219.0,
184083,20805,Global Branch Key 20805,Poland,52.6438,19.03574,56.0,232.0,56.0,9.170000076293945,11.486000061035156,229.0,147.8394775390625
130987,56673,Global Branch Key 56673,France,48.44865,6.737629,56.0,301.0,56.0,10.699999809265137,12.33799934387207,266.0,1720.7049560546875
88551,294356,Teijin Aramid BV (Arnhem),Netherlands,51.96512,5.94013,41.0,327.0,41.0,10.479999542236328,12.093999862670898,272.0,1988.456298828125
150165,61683,Global Branch Key 61683,France,46.33761,5.12877,41.0,333.0,29.0,11.90999984741211,13.853999137878418,279.0,3038.11328125
130442,288904,Global Branch Key 288904,Poland,51.26179,15.56796,56.0,248.0,56.0,9.609999656677246,11.86400032043457,241.0,1103.8272705078125
168166,256533,Global Branch Key 256533,Italy,42.68794,11.33477,22.0,272.0,24.0,14.119999885559082,15.839999198913574,277.0,1496.84033203125
59816,118148,Freshney Green Primary Care Centre,United Kingdom,53.5641,-0.11359,56.0,341.0,56.0,10.309999465942383,11.567999839782715,284.0,3194.65380859375
195207,5133554,EXETER STW (Countess Wear),United Kingdom,50.691106,-3.490711,50.0,352.0,50.0,10.960000038146973,12.381999969482422,365.0,2820.69970703125
22543,54310177,"Retail - United Kingdom (53.8760035 , -2.7597259)",United Kingdom,53.8760035,-2.7597259,52.0,356.0,52.0,9.889999389648438,11.22599983215332,279.0,848.8222045898438
44798,56537773,"Retail - United Kingdom (56.409801 , -5.4737838)",United Kingdom,56.409801,-5.4737838,56.0,314.0,56.0,8.449999809265137,9.503999710083008,254.0,5.129170894622803
29860,77135,Global Branch Key 77135,Switzerland,46.9565,7.484232,56.0,296.0,56.0,10.219999313354492,11.855999946594238,255.0,903.2211303710938
125309,3001732,Business Address,United Kingdom,51.506891,-0.138812,56.0,312.0,56.0,10.710000038146973,12.243999481201172,272.0,
94204,3757247,Business Address,Germany,50.115676,8.680267,56.0,272.0,56.0,10.550000190734863,12.345999717712402,261.0,1045.3997802734375
194796,61204,Profitis Ilias Pyrg Wind Farm,Greece,38.33746,24.09506,50.0,181.0,50.0,17.850000381469727,19.149999618530273,206.0,2777.946533203125
87629,6220841,Abbott Arzneimittel GmbH,Germany,52.368871,9.772449,56.0,278.0,56.0,9.779999732971191,11.673999786376953,248.0,79.76537322998047
177489,253910,Global Branch Key 253910,Italy,45.14105,9.108163,51.0,317.0,51.0,13.779999732971191,15.401998519897461,259.0,7947.4404296875
26292,117655,Global Branch Key 117655,Italy,44.50234,11.31611,56.0,293.0,56.0,13.710000038146973,15.5339994430542,224.0,3474.753662109375
106231,11084,Global Branch Key 11084,Switzerland,46.7782,9.6732,50.0,168.0,50.0,2.639999866485596,4.576000213623047,153.0,
162449,182795,Global Branch Key 182795,Romania,45.29563,21.87664,56.0,242.0,56.0,10.710000038146973,12.661999702453613,251.0,488.9923400878906
16712,128829,Global Branch Key 128829,Italy,41.48294,14.47292,50.0,244.0,50.0,10.920000076293945,12.675999641418457,205.0,221.07566833496094
57832,24100,Global Branch Key 24100,Germany,50.12406,8.83378,56.0,276.0,56.0,10.59999942779541,12.40999984741211,261.0,1710.5069580078125
162405,143469,Global Branch Key 143469,Italy,41.51792,12.85349,51.0,267.0,51.0,17.09000015258789,18.845998764038086,271.0,12360.9296875
9617,211080,Hurstwood Court Household Waste Recycling Centre,United Kingdom,53.5661,-2.41065,56.0,360.0,56.0,9.960000038146973,11.291999816894531,278.0,146.7401580810547
155714,155666,Global Branch Key 155666,Poland,51.69571,17.43767,56.0,234.0,56.0,9.239999771118164,11.538000106811523,230.0,2017.7633056640625
101823,211652,Global Branch Key 211652,Spain,36.62741,-6.36525,56.0,172.0,56.0,18.920000076293945,20.236000061035156,227.0,
18213,26065742,Bytes Technology Group plc,United Kingdom,51.301589,-0.336446,56.0,316.0,56.0,10.460000038146973,12.022000312805176,273.0,1949.478515625
90852,8631857,Repower Italia S.p.A.,Italy,45.4717,9.2158,56.0,344.0,56.0,13.729999542236328,15.331998825073242,284.0,1001.0280151367188
123111,347805,Plana del Vent CCGT,Spain,40.95929,0.86901,22.0,215.0,22.0,17.010000228881836,18.411998748779297,234.0,284.9833984375
135626,7585,"MONDO MINERALS B.V. Branch Finland, PL 603, 87101 Kajaani, Sotkamon tehdas",Finland,64.11812,28.06761,48.0,188.0,42.0,2.899999856948853,6.035999774932861,163.0,14.55696964263916
159146,80698,Global Branch Key 80698,Luxembourg,49.61679,6.122115,56.0,268.0,56.0,10.369999885559082,11.847999572753906,261.0,1051.2274169921875
13450,141276,Global Branch Key 141276,Spain,43.37526,-8.398036,56.0,289.0,56.0,15.059999465942383,16.06399917602539,319.0,
65614,2899,InAsset Udine,Italy,46.0775648,13.1874348,42.0,352.0,30.0,12.799999237060547,14.670000076293945,285.0,2617.689697265625
24625,3044723,Business Address,United Kingdom,50.78537,-1.129923,,312.0,,11.210000038146973,12.694000244140625,365.0,
